QQQ		
QQQ股價歷史		
Date	Low	Close
		
		
		
1999-04-01	3.582794021	4.307744225
1999-05-01	3.596560748	4.041351555
1999-06-01	3.690176711	4.957012213
1999-07-01	4.672833703	4.781179581
1999-08-01	4.208532611	5.318202747
1999-09-01	5.161424189	5.407676723
1999-10-01	4.950401281	6.453415479
1999-11-01	6.383172643	8.064413543
1999-12-01	8.168228733	12.46386947
2000-01-01	9.551360231	12.00775861
2000-02-01	11.74564189	17.01115805
2000-03-01	15.31957048	17.89890036
2000-04-01	9.136777452	13.40159685
2000-05-01	7.839340787	10.31481466
2000-06-01	10.22143188	13.03288407
2000-07-01	11.03457218	11.94090971
2000-08-01	10.42375451	15.41697717
2000-09-01	11.36690804	11.75803735
2000-10-01	8.140563287	9.964957431
2000-11-01	5.49685892	5.921936694
2000-12-01	4.419807214	5.086884762
2001-01-01	4.085230429	6.171917305
2001-02-01	3.297679378	3.361015876
2001-03-01	2.168557962	2.288029867
2001-04-01	1.695439685	3.179373576
2001-05-01	2.822162423	2.986729617
2001-06-01	2.556596833	3.11767278
2001-07-01	2.320651635	2.603269022
2001-08-01	1.919357763	2.002958602
2001-09-01	1.111070665	1.253703604
2001-10-01	1.16480772	1.715527008
2001-11-01	1.71365387	2.346845714
2001-12-01	2.219067826	2.260063147
2002-01-01	2.039289009	2.213834261
2002-02-01	1.644361787	1.703402879
2002-03-01	1.745250792	1.94110747
2002-04-01	1.402524682	1.502928279
2002-05-01	1.212975387	1.347094298
2002-06-01	0.893361858	1.016902059
2002-07-01	0.7032638828	0.8491313569
2002-08-01	0.6813386215	0.823690668
2002-09-01	0.6305038723	0.6408812597
2002-10-01	0.5863780729	0.8997069383
2002-11-01	0.8751416168	1.147055767
2002-12-01	0.8853219705	0.886562191
2003-01-01	0.8657413509	0.8916625997
2003-02-01	0.8166969497	0.944972969
2003-03-01	0.8321790826	0.9517455985
2003-04-01	0.9574731549	1.124819512
2003-05-01	1.110253852	1.324765921
2003-06-01	1.290135865	1.339034586
2003-07-01	1.285738016	1.509566762
2003-08-01	1.345294216	1.66429736
2003-09-01	1.572609497	1.569004104
2003-10-01	1.57844629	1.847522697
2003-11-01	1.708584742	1.868589025
2003-12-01	1.749348929	1.984410046
2004-01-01	1.970156643	2.051366619
2004-02-01	1.957123344	1.996402168
2004-03-01	1.737068937	1.917494443
2004-04-01	1.810353139	1.804710285
2004-05-01	1.747299311	1.994219006
2004-06-01	1.926881488	2.126189406
2004-07-01	1.70554691	1.817188694
2004-08-01	1.571637409	1.727693625
2004-09-01	1.715683664	1.843323678
2004-10-01	1.860754993	2.032595181
2004-11-01	2.033758847	2.284524301
2004-12-01	2.294748963	2.378916145
2005-01-01	1.996352124	2.088052255
2005-02-01	2.022721047	2.068001612
2005-03-01	1.939813434	1.996402168
2005-04-01	1.771973708	1.826575897
2005-05-01	1.828124443	2.164671689
2005-06-01	2.022721047	2.019396217
2005-07-01	2.006220114	2.338566563
2005-08-01	2.198334256	2.268202275
2005-09-01	2.196037005	2.324407414
2005-10-01	2.09276213	2.255418669
2005-11-01	2.250350476	2.538840791
2005-12-01	2.446280075	2.437675054
2006-01-01	2.422095427	2.633277892
